tmdb_id,film_title,film_adult,film_runtime_min,film_genres,film_rating,film_vote_count,film_mpaa_rating,film_original_title,film_language_name,film_imdb_id,film_wikidata_id,film_countries,film_year,film_release_date,film_popularity,film_budget,film_revenue,film_studios,film_director,film_soundtrack_composer_raw,film_top_cast,film_keywords,film_ingested_at,match_method,soundtrack_type,notes,matched_at,release_group_id,release_group_mbid,album_title,rg_primary_type,rg_secondary_types,release_id,release_mbid,release_title,release_status,release_packaging,barcode,release_language,release_script,release_comment,album_us_release_date,album_us_release_year,album_us_release_month_min_observed,album_us_release_day_min_observed,us_date_has_missing_month,us_date_has_missing_day,us_any_event_missing_month,us_any_event_missing_day,rg_tags_text,release_tags_text,label_names,label_mbids,label_tags_text,rg_rating,rg_rating_count,release_meta_date_added,release_meta_info_url,release_meta_amazon_asin,release_meta_cover_art_presence,release_status_clean,keep_row,is_canonical_soundtrack,is_canonical_songtrack,canonical_rule,canonical_songtrack_rule,days_since_film_release,days_since_album_release,ambient_experimental,classical_orchestral,electronic,hip_hop_rnb,pop,rock,world_folk,film_is_action,film_is_adventure,film_is_animation,film_is_comedy,film_is_crime,film_is_documentary,film_is_drama,film_is_family,film_is_fantasy,film_is_history,film_is_horror,film_is_music,film_is_mystery,film_is_romance,film_is_science_fiction,film_is_tv_movie,film_is_thriller,film_is_war,film_is_western,vote_count_above_500,composer_primary_clean,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner,lfm_album_status,lfm_album_listeners,lfm_album_playcount,lfm_album_url,lfm_album_query_method,lfm_album_pulled_at
553882,An Acceptable Loss,False,102,"Thriller, Drama",6.201,77,R,An Acceptable Loss,English,tt7049542,Q58411554,United States of America,2019,2019-01-18,0.3648,0,0,Corrado Mooncoin,Joe Chappelle,Valgeir Sigurðsson,"Tika Sumpter, Jamie Lee Curtis, Ben Tavassoli, Jeff Hephner, Deanna Dunagan","regret, politician, betrayal, threat, dark past",2026-01-19 01:36:05.812 -0500,title_contains_strict,songs,,2026-01-25 03:07:30.754 -0500,2661136,3473fa14-01fc-4c02-9199-d73217a3a889,An Acceptable Loss: Original Soundtrack,Album,Soundtrack,3050537.0,6dffcd4d-5f6a-491c-8d54-ae784fa11ec8,An Acceptable Loss: Original Soundtrack,Official,,4250101413179.0,English,Latin,,,,,,,,,,,,Bedroom Community,3e5f9565-2eb9-4452-a400-9fdedeace7af,,,,2021-04-15 18:53:18.324 -0400,,,present,Official,True,True,False,single_album_film,,2570,,,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,Valgeir Sigurðsson,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,6.0,39.0,https://www.last.fm/music/Valgeir+Sigur%C3%B0sson/An+Acceptable+Loss:+Original+Soundtrack,text,2026-01-28 21:34:58.908928+00:00
553869,Aadai,False,143,"Thriller, Mystery, Action",6.0,13,NR,ஆடை,Tamil,tt8944398,Q59725584,India,2019,2019-07-19,2.8677,0,0,V Studios,Rathna Kumar,Pradeep Kumar,"Amala Paul, Ramya Subramanian, Sriranjini, Vivek Prasanna, Roju","revenge, prank, betting, trapped in building, nude",2026-01-19 01:36:05.812 -0500,title_contains_strict,unknown,,2026-01-25 03:07:30.754 -0500,2387247,966d2061-7e4e-439b-8e3d-5fbae8c2eef6,Aadai,Album,Soundtrack,2703495.0,766f7427-77ef-46a2-b34e-958e523f344e,Aadai (Original Motion Picture Soundtrack),Official,,,Tamil,Latin,,,,,,,,,,,,Think Music,38f3f0fd-fd85-4343-a014-592c967667a4,,,,2020-05-11 06:05:05.304 -0400,,,present,Official,True,True,False,single_album_film,,2388,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,Pradeep Kumar,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,3.0,5.0,https://www.last.fm/music/Pradeep+Kumar/Aadai,text,2026-01-28 21:55:41.287467+00:00
384112,Dad in Training,False,97,Comedy,6.124,129,NR,Tout pour être heureux,French,tt4386356,Q25396404,France,2016,2016-04-06,0.2413,0,0,"France 2 Cinéma, Chapka Films, Vendôme Production, TF1 Droits Audiovisuels",Cyril Gelblat,Laurent Perez del Mar,"Manu Payet, Audrey Lamy, Aure Atika, Joe Bel, Jaïa Caltagirone","single father, family conflict, father figure, french family, family crisis",2026-01-19 01:36:05.016 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,2923300,7459b05d-9f9a-47a1-bf2e-c24604dbb860,Tout pour être heureux,Album,Soundtrack,3387504.0,e5726b97-908f-4619-924e-d1a868d174d5,Tout pour être heureux,Official,,,[Multiple languages],,,,,,,,,,,,,,,,,,2022-03-14 22:15:20.224 -0400,,,present,Official,True,True,False,single_album_film,,3587,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Laurent Perez del Mar,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,4.0,25.0,https://www.last.fm/music/Various+Artists/Tout+pour+%C3%AAtre+heureux,text,2026-01-28 21:47:13.838853+00:00
1075815,Joan Baez: I Am a Noise,False,113,"Documentary, Music",6.531,16,NR,Joan Baez: I Am a Noise,English,tt26594061,Q122854704,United States of America,2023,2023-10-06,0.2652,0,630000,Mead Street Films,"Maeve O'Boyle, Karen O'Connor, Miri Navasky",Sarah Lynch,"Joan Baez, Mimi Fariña, Bob Dylan, David Harris","musician, civil rights, biography, tragic love, political activist",2026-01-19 01:36:06.359 -0500,title_contains_strict,unknown,,2026-01-25 03:07:30.754 -0500,3564253,01e1e26a-a91e-41d8-a779-e3214afea9b0,Joan Baez: I Am A Noise,Album,Soundtrack,4211986.0,397341e8-0f41-4d57-b664-ed1b376ec3c4,Joan Baez: I Am A Noise,Official,,,,,,,,,,,,,,,,[no label],157afde4-4bf5-4039-8ad2-5a15acc85176,"special purpose label | special purpose | 630 travis st nw | @travis1travis1 | also record | atlanta | attravtive | autocracy | classical | cloud rap | compilation | d-extreme | dirty rock records kevin joseph keene dirty rock productions dirty rock publishing the woods milk carton girl - deluxe edition debut single from the 16 song album.""indiscernible creatures"" | djkarkiro | experimental rock | extravagant | extravert | feu follet productions | gabber | georgia | hardcore | hero rhymes with zero | house | house music | lefa22 | metal | noise | punk | rock | rock 'n' roll | sonic youth | trap | trap music museum | trav ave | trav how | travatar | travenue avenue | traversal | traverse | travi$ | travigate | travis | travis errol howard | travis howard | travis is the highest power ever | travis record label | travis.app | travis1travis1 | travrizz | turboplug | ultraviolent | ultraviolet | xtreme | _edit | fixme | indie",,,2024-01-11 11:28:47.909 -0500,,B0CKHKFPRM,absent,Official,True,True,False,single_album_film,,848,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Sarah Lynch,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,1.0,62.0,https://www.last.fm/music/Sarah+Lynch/Joan+Baez:+I+Am+A+Noise,text,2026-01-28 20:21:59.721682+00:00
664574,Silent Night,False,92,"Comedy, Science Fiction, Horror",5.912,579,R,Silent Night,English,tt11628854,Q85801170,United Kingdom / United States of America,2021,2021-12-03,2.3031,0,438825,"Marv, Maven Screen Media, Endeavor Content, Cloudy",Camille Griffin,Lorne Balfe,"Keira Knightley, Matthew Goode, Roman Griffin Davis, Annabelle Wallis, Lily-Rose Depp","suicide, holiday, christmas party, pill, family dinner",2026-01-19 01:36:06.359 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,2844069,73dbd0f4-e1e6-4077-92a6-5ac7d8515873,Silent Night: Original Motion Picture Soundtrack,Album,Soundtrack,3283349.0,a9ba57b6-6ce5-47d1-95bf-2155cf334344,Silent Night: Original Motion Picture Soundtrack,Official,,780163613322.0,English,Latin,,,,,,,,,,,,Lakeshore Records,7c4964d4-173c-4802-b7ef-8a20181c54f5,soundtrack | soundtrack label,,,2021-12-14 07:08:46.281 -0500,,,present,Official,True,True,False,single_album_film,,1520,,,,,,,,,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,Lorne Balfe,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,10.0,70.0,https://www.last.fm/music/Lorne+Balfe/Silent+Night:+Original+Motion+Picture+Soundtrack,text,2026-01-28 21:47:08.402168+00:00
413658,The Warriors Gate,False,108,"Action, Adventure, Comedy, Family, Fantasy",6.6,365,PG-13,The Warriors Gate,English,tt4652532,Q19961448,Canada / China / France,2016,2016-11-18,1.3743,0,0,"EuropaCorp, Transfilm International, Fundamental Films, Canal+, Ciné+, Screen Siren Pictures, China Film Co-Production Corp.",Matthias Hoene,Klaus Badelt,"Uriah Shelton, Ni Ni, Dave Bautista, Mark Chao, Francis Ng Chun-Yu","king, barbarian, war",2026-01-19 01:36:05.016 -0500,imdb_exact,unknown,,2026-01-25 02:45:25.371 -0500,1786262,8a7c3acf-706d-407f-bb58-6ce2bc12440a,The Warriors Gate,Album,Soundtrack,1940487.0,bf708198-6626-4e1e-9ea2-f35f677cd67a,The Warriors Gate,Official,,,English,Latin,,,,,,,,,,,,EuropaCorp,252b5070-acc8-4215-b578-7456f51e90a7,,,,2017-03-29 13:11:19.699 -0400,https://www.amazon.com/gp/product/B06VSXXGVZ,B06VSXXGVZ,present,Official,True,True,False,single_album_film,,3361,,,,,,,,,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,Klaus Badelt,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,13.0,494.0,https://www.last.fm/music/Klaus+Badelt/The+Warriors+Gate,text,2026-01-28 21:52:16.146884+00:00
334543,Lion,False,118,Drama,8.041,6835,PG-13,Lion,English,tt3741834,Q23013699,Australia / United Kingdom / United States of America,2016,2016-11-24,3.5927,12000000,140312928,"The Weinstein Company, See-Saw Films, Screen Australia, Aquarius Films, Sunstar Entertainment",Garth Davis,"Volker Bertelmann, Dustin O'Halloran","Dev Patel, Rooney Mara, David Wenham, Nicole Kidman, Abhishek Bharate","australia, based on novel or book, adoption, affectation, biography",2026-01-19 01:36:05.016 -0500,title_contains_strict,songs,,2026-01-25 03:07:30.754 -0500,1725150,02f2fc3a-ac57-4421-8de9-d99c1091bf18,Lion (Original Motion Picture Soundtrack),Album,Soundtrack,1861185.0,bde2a4e2-b9c6-4a1c-995c-9cbcd9308b3c,Lion: Original Motion Picture Soundtrack,Official,,,English,Latin,,2016-11-25,2016.0,11.0,25.0,False,False,False,False,classical | pop,,The Weinstein Company,b9ab06f7-e1bf-4d2f-b658-d19ae6c072c1,,,,2016-11-17 09:49:26.322 -0500,https://www.amazon.com/gp/product/B01N41M1PY,B01N0EH5AZ,present,Official,True,True,True,fallback_earliest_mbid,multi_album_soundtrack_title,3355,3354.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,Volker Bertelmann,2016,True,False,False,False,True,False,False,False,True,False,False,False,False,False,ok,12.0,58.0,https://www.last.fm/music/Dustin+O%E2%80%99Halloran/Lion+(Original+Motion+Picture+Soundtrack),text,2026-01-28 20:22:37.730639+00:00
696506,Mickey 17,False,137,"Science Fiction, Comedy, Adventure",6.832,3154,R,Mickey 17,English,tt12299608,Q112977213,United States of America / United Kingdom,2025,2025-02-28,11.8419,118000000,133442263,"Warner Bros. Pictures, Plan B Entertainment, Offscreen, Kate Street Picture Company, Domain Entertainment",Bong Joon Ho,Jung Jae-il,"Robert Pattinson, Naomi Ackie, Steven Yeun, Mark Ruffalo, Toni Collette","based on novel or book, dark comedy, space travel, space colony, alien planet",2026-01-19 01:36:06.814 -0500,title_contains_strict,songs,,2026-01-25 03:07:30.754 -0500,4074562,713e1a78-97e5-401b-8b85-30e375e6128b,Mickey 17: Original Motion Picture Soundtrack,Album,Soundtrack,4851875.0,326635d4-dd54-4fe2-b8f8-8404dd1a67b2,Mickey 17: Original Motion Picture Soundtrack,Official,,794043219849.0,English,Latin,up to 24bit/96kHz,,,,,,,,,,,WaterTower Music,a6cbb3d7-6fea-4257-aa79-e1e6bf810da3,clean up | film score | soundtrack | soundtrack label | soundtracks,,,2025-02-28 03:21:40.885 -0500,,,present,Official,True,True,False,single_album_film,,337,,,,,,,,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,Jung Jae-il,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,6.0,83.0,https://www.last.fm/music/%EC%A0%95%EC%9E%AC%EC%9D%BC/Mickey+17:+Original+Motion+Picture+Soundtrack,text,2026-01-28 21:46:36.027381+00:00
585083,Hotel Transylvania: Transformania,False,92,"Animation, Comedy, Family, Adventure, Fantasy",7.048,2956,PG,Hotel Transylvania: Transformania,English,tt9848626,Q65973230,United States of America,2022,2022-01-31,7.7041,75000000,18500000,"Sony Pictures Animation, Sony Pictures, MRC, Columbia Pictures","Derek Drymon, Jennifer Kluska",Mark Mothersbaugh,"Andy Samberg, Selena Gomez, Kathryn Hahn, Jim Gaffigan, Steve Buscemi","monster, vampire, transformation, aftercreditsstinger, duringcreditsstinger",2026-01-19 01:36:06.359 -0500,imdb_exact,songs,,2026-01-25 02:45:25.371 -0500,2873233,73d39cfb-2b62-420a-b8eb-17e600807943,Hotel Transylvania: Transformania (Soundtrack from the Amazon Original),Album,Soundtrack,3322458.0,9623ba62-1efe-4479-912b-8a689b6fc053,Hotel Transylvania: Transformania (Soundtrack from the Amazon Original),Official,,886449505494.0,English,Latin,,,,,,,,,,,,Sony Classical,10920823-9ed8-45d9-adb3-69fc22475ab0,classical | sicc | soundtrack | star wars,,,2022-01-16 03:28:36.551 -0500,,,present,Official,True,True,False,single_album_film,,1461,,,,,,,,,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,Mark Mothersbaugh,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,462.0,2158.0,https://www.last.fm/music/Mark+Mothersbaugh/Hotel+Transylvania:+Transformania+(Soundtrack+from+the+Amazon+Original),text,2026-01-28 21:47:07.926147+00:00
369168,A Good American,False,100,Documentary,7.0,36,NR,A Good American,English,tt4065414,Q27450769,Austria,2015,2015-09-23,0.2237,0,0,"Slingshot Films, Blue + Green Communication",Friedrich Moser,Guy Farley,"William Binney, Thomas Drake, Edward Loomis, Jesselyn Radack, Diane Roark","government, bureaucracy, espionage, spy, greed",2026-01-19 01:36:05.016 -0500,title_contains_strict,unknown,,2026-01-25 03:07:30.754 -0500,1775752,6d9e84c6-9feb-497a-b141-4828e695b5ec,A Good American,Album,Soundtrack,1927011.0,8644703e-33cb-411c-932b-b2b7fd7d1067,A Good American,Official,,,English,Latin,,,,,,,,,,,,Quartet Records,7281cf5e-8b46-4efa-a3a4-ae3b42cbd4ae,soundtrack | soundtrack label | soundtracks,,,2017-03-05 09:18:38.748 -0500,https://www.amazon.com/gp/product/B01M25WX3R,B01M25WX3R,present,Official,True,True,False,single_album_film,,3783,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Guy Farley,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ok,5.0,33.0,https://www.last.fm/music/Christopher+Slaski/A+Good+American,text,2026-01-28 21:45:54.920594+00:00
